,City,Longitude,Latitude,Temperature,Max_Temperature,Humidity,Clouds,Wind Speed,Country,Datetime
0,pimentel,-79.9342,-6.8367,64.00400000000005,64.00400000000005,85,0,1.34,PE,1619747019
1,hermanus,19.2345,-34.4187,50.0,50.0,92,58,1.54,ZA,1619746906
2,lebu,-73.65,-37.6167,55.05800000000001,55.05800000000001,95,100,3.57,CL,1619746911
3,busselton,115.3333,-33.65,55.25600000000003,55.99400000000007,92,9,0.45,AU,1619747021
4,hobart,147.3294,-42.8794,63.66200000000006,66.0020000000001,72,20,4.12,AU,1619746821
5,rikitea,-134.9692,-23.1203,76.78399999999999,76.78399999999999,66,87,5.67,PF,1619747022
6,saint-philippe,55.7679,-21.3585,72.87800000000007,73.4,83,90,7.72,RE,1619747023
7,walvis bay,14.5053,-22.9575,52.30400000000005,55.00400000000005,87,0,3.09,,1619747024
8,mataura,168.8643,-46.1927,55.00400000000005,55.00400000000005,70,62,6.71,NZ,1619747024
9,talnakh,88.3972,69.4865,29.98399999999999,29.98399999999999,91,82,1.64,RU,1619747025
10,bluff,168.3333,-46.6,55.00400000000005,55.00400000000005,70,31,6.71,NZ,1619747025
11,souillac,57.5167,-20.5167,77.0,77.0,83,75,3.6,MU,1619747026
12,aklavik,-135.0107,68.2191,42.8,42.8,39,40,2.06,CA,1619746969
13,avarua,-159.775,-21.2078,84.2,84.2,79,75,4.12,CK,1619746916
14,enterprise,-115.2419,36.0252,86.70200000000008,87.99800000000002,8,40,2.57,US,1619747028
15,esperance,121.9,-33.8667,59.0,59.0,82,90,7.72,AU,1619746927
16,hammerfest,23.6821,70.6634,26.6,26.6,74,75,8.23,NO,1619747029
17,yellowknife,-114.3525,62.456,29.444000000000074,30.2,51,75,4.12,CA,1619746991
18,los llanos de aridane,-17.9182,28.6585,59.342,64.4,72,40,2.06,ES,1619747030
19,sur,59.5289,22.5667,85.42400000000002,85.42400000000002,49,100,1.19,OM,1619747032
20,alice springs,133.8833,-23.7,73.72400000000002,73.99400000000007,23,0,5.66,AU,1619747032
21,cayenne,-52.3333,4.9333,76.2260000000001,77.0,94,0,1.11,GF,1619747033
22,sembe,14.5806,1.6481,68.684,68.684,92,65,0.88,CG,1619747034
23,ranong,98.6348,9.9658,80.6,80.6,94,20,1.03,TH,1619747035
24,solnechnyy,136.6319,50.7214,38.12000000000006,38.12000000000006,69,89,4.26,RU,1619747036
25,albany,-73.9662,42.6001,55.292,55.99400000000007,90,100,3.58,US,1619746921
26,butaritari,172.7902,3.0707,83.82200000000003,83.82200000000003,71,100,5.75,KI,1619747037
27,barrow,-156.7887,71.2906,19.4,19.4,86,90,2.57,US,1619746617
28,lompoc,-120.4579,34.6391,58.98200000000001,64.99400000000007,77,7,5.66,US,1619746870
29,baykit,96.37,61.67,39.452000000000076,39.452000000000076,74,95,4.71,RU,1619747039
30,nikolskoye,30.7861,59.7035,29.714000000000034,32.0,74,0,1.27,RU,1619746914
31,ushuaia,-68.3,-54.8,39.2,39.2,70,75,1.61,AR,1619747040
32,balabac,117.0645,7.9868,85.53200000000001,85.53200000000001,67,11,4.86,PH,1619747041
33,vaini,-175.2,-21.2,75.2,75.2,100,75,5.14,TO,1619747042
34,castro,-50.0119,-24.7911,49.658,49.658,97,4,2.04,BR,1619747043
35,atuona,-139.0333,-9.8,79.34000000000002,79.34000000000002,69,13,1.98,PF,1619746907
36,mount isa,139.5,-20.7333,84.2,84.2,34,1,3.6,AU,1619747003
37,araouane,-3.5265,18.9048,91.13000000000002,91.13000000000002,19,93,3.15,ML,1619747023
38,jining,116.5814,35.405,75.0020000000001,75.0020000000001,1,99,6.33,CN,1619747045
39,praia da vitoria,-27.0667,38.7333,56.69600000000005,57.2,82,20,2.79,PT,1619747046
40,berlevag,29.0864,70.8578,29.3,29.3,68,100,11.79,NO,1619747046
41,jamestown,-79.2353,42.097,47.174000000000014,48.00200000000008,93,90,4.63,US,1619747047
42,iqaluit,-68.5145,63.7506,32.0,32.0,100,90,2.06,CA,1619747048
43,san jeronimo,-75.2829,-11.9472,49.24400000000007,49.24400000000007,77,96,0.79,PE,1619747049
44,norman wells,-126.8329,65.282,46.4,46.4,27,20,2.57,CA,1619746831
45,ayan,138.1667,56.45,31.441999999999997,31.441999999999997,95,100,5.3,RU,1619747050
46,el coco,-79.815,8.8703,80.54600000000006,82.4,83,20,5.14,PA,1619747051
47,hilo,-155.09,19.7297,76.01000000000009,82.4,57,1,3.6,US,1619746878
48,fuyang,115.8167,32.9,76.658,76.658,60,7,7.36,CN,1619747052
49,piacabucu,-36.4344,-10.4056,76.94600000000005,76.94600000000005,81,31,3.5,BR,1619747053
50,vila velha,-40.2925,-20.3297,71.6,71.6,78,75,3.6,BR,1619746940
51,hami,93.45,42.8,75.09200000000001,75.09200000000001,13,3,3.29,CN,1619747054
52,saskylakh,114.0833,71.9167,33.49400000000007,33.49400000000007,94,100,3.63,RU,1619747055
53,mar del plata,-57.5575,-38.0023,60.890000000000015,60.99800000000003,82,0,3.09,AR,1619746915
54,cidreira,-50.2056,-30.1811,65.13800000000005,65.13800000000005,78,1,3.07,BR,1619747056
55,kununurra,128.7333,-15.7667,89.6,89.6,29,0,4.63,AU,1619747056
